	C1_ruderal	C2_VaccUli	C3_cushion	C4_shrubs	C5_CallVulg	C6_VaccMyrt	H1_alpines	H10_megaph	H2_dryGrass	H3_coolGrass	H4_undergrowth	H5_poorGrass	H6_megaph	H7_rocks	H8_notgraz	H9_NardStri	P1_ubacPion	P2_river	P3_ubac2	P4_larix	P5_alpext	P6_alpint	P7_acer	P8_BetAlb
NAME	C1_ruderal	C2_VaccUli	C3_cushion	C4_shrubs	C5_CallVulg	C6_VaccMyrt	H1_alpines	H10_megaph	H2_dryGrass	H3_coolGrass	H4_undergrowth	H5_poorGrass	H6_megaph	H7_rocks	H8_notgraz	H9_NardStri	P1_ubacPion	P2_river	P3_ubac2	P4_larix	P5_alpext	P6_alpint	P7_acer	P8_BetAlb
MATURITY	5	4	6	10	8	8	4	4	3	3	4	4	4	4	4	4	15	15	18	15	25	20	15	15
LONGEVITY	28	20	46	159	40	93	12	10	11	10	8	8	9	8	9	10	194	178	352	601	451	161	311	101
MAX_ABUNDANCE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3
IMM_SIZE	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4	4	1	2	1	1	1	1	2	2
CHANG_STR_AGES_to_str1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHANG_STR_AGES_to_str2	10000	10000	10000	10	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10	3	9	5	8	10	4	3
CHANG_STR_AGES_to_str3	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	30	9	24	13	21	27	12	8
CHANG_STR_AGES_to_str4	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	136	10000	79	37	61	89	10000	10000
CHANG_STR_AGES_to_str5	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	115	191	10000	10000	10000
WIDE_DISPERS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MODE_DISPERS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ACTIVE_GERM_with_low	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3
ACTIVE_GERM_with_medium	3	3	3	3	3	3	6	6	6	6	6	6	6	6	6	6	3	3	3	3	3	3	3	3
ACTIVE_GERM_with_high	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
SHADE_TOL_for_GeL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SHADE_TOL_for_GeM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SHADE_TOL_for_GeH	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1
SHADE_TOL_for_ImL	0	0	0	1	1	1	0	1	0	0	1	0	1	1	0	0	1	1	1	0	1	0	1	0
SHADE_TOL_for_ImM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SHADE_TOL_for_ImH	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1
SHADE_TOL_for_MaL	0	0	0	1	1	1	0	1	0	0	1	0	1	1	0	0	1	1	1	0	1	0	1	0
SHADE_TOL_for_MaM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SHADE_TOL_for_MaH	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
SEED_POOL_LIFE_active	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEED_POOL_LIFE_dormant	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEED_DORMANCY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOIL_TOL_for_Ge1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOIL_TOL_for_Ge2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOIL_TOL_for_Ge3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOIL_TOL_for_Ge4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOIL_TOL_for_Ge5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOIL_TOL_for_Im1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOIL_TOL_for_Im2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOIL_TOL_for_Im3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOIL_TOL_for_Im4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOIL_TOL_for_Im5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOIL_TOL_for_Ma1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOIL_TOL_for_Ma2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOIL_TOL_for_Ma3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOIL_TOL_for_Ma4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SOIL_TOL_for_Ma5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
